,Date,year,type,country,activity,sex,injury,fatal_boolean,time
0,25-Jun-2018,,Boat,USA,Paddling,,"No injury to occupant, outrigger canoe and paddle damaged",,Evening
1,18-Jun-2018,,Unprovoked,USA,Standing,,Minor injury to left thigh,,Unknown
2,09-Jun-2018,,Invalid,USA,Surfing,,Injury to left lower leg from surfboard skeg,,Morning
3,08-Jun-2018,,Unprovoked,AUSTRALIA,Surfing,,Minor injury to lower leg,,Unknown
4,04-Jun-2018,,Provoked,MEXICO,Free diving,,Lacerations to leg & hand shark PROVOKED INCIDENT,,Unknown
5,03-Jun-2018,,Unprovoked,AUSTRALIA,Kite surfing,,"No injury, board bitten",,Unknown
6,03-Jun-2018,,Unprovoked,BRAZIL,Swimming,,FATAL,,Unknown
7,27-May-2018,,Unprovoked,USA,Fishing,,Minor injury to foot. PROVOKED INCIDENT,,Unknown
8,26-May-2018,,Unprovoked,USA,Walking,,Lower left leg bitten,,Evening
9,26-May-2018,,Unprovoked,USA,Standing,,Minor injury to foot,,Afternoon
10,24-May-2018,,Provoked,AUSTRALIA,Feeding sharks,,Minor bite to hand by captive shark. PROVOKED INCIDENT,,Unknown
11,21-May-2018,,Unprovoked,USA,Boogie boarding,,Injuries to lower right leg and foot,,Unknown
12,13-May-2018,,Unprovoked,USA,Swimming,,Severe bite to right forearm,,Afternoon
13,13-May-2018,,Invalid,ENGLAND,Fishing,,Injured by teeth of a dead porbeagle shark he was tossing overboard.,,Morning
14,May 2018,,Provoked,AUSTRALIA,Feeding sharks,,Shallow lacerations to finger PROVOKED INCIDENT,,Unknown
15,12-May-2018,,Unprovoked,SOUTH AFRICA,Surfing,,"Minor injury, marks on board",,Morning
16,09-May-2018,,Questionable,AUSTRALIA,Surfing,,"No injury, surfboard damaged",,Morning
17,Reported 30-Apr-2018,,Unprovoked,THAILAND,Swimming,,Minor injury to ankle,,Unknown
18,28-Apr-2018,,Unprovoked,COSTA RICA,Scuba diving,,"No injury, shark bit scuba gear",,Morning
19,28-Apr-2018,,Unprovoked,AUSTRALIA,Surfing,,"No injury, knocked off board by shark",,Afternoon
20,25-Apr-2018,,Questionable,AUSTRALIA,Surfing,,No injury,,Morning
21,25-Apr-2018,,Unprovoked,AUSTRALIA,Surfing,,"No injury, knocked off board by shark",,Morning
22,24-Apr-2018,,Unprovoked,AUSTRALIA,Surfing,,"No injury, shark struck his leg",,Unknown
23,23-Apr-2018,,Unprovoked,MALDIVES,Fishing,,5-inch cut to hand,,Night
24,22-Apr-2018,,Unprovoked,SOUTH AFRICA,Paddle-skiing,,"No injury, shark bit hole in ski",,Morning
25,19-Apr-2018,,Unprovoked,USA,Body boarding,,Lacerations to right lower leg,,Unknown
