;Date;year;type;country;activity;sex;injury;fatal_boolean;time
0;25-Jun-2018;;Boat;USA;Paddling;;No injury to occupant, outrigger canoe and paddle damaged;N;Evening
1;18-Jun-2018;;Unprovoked;USA;Standing;;Minor injury to left thigh;N;Unknown
2;09-Jun-2018;;Invalid;USA;Surfing;;Injury to left lower leg from surfboard skeg;N;Morning
3;08-Jun-2018;;Unprovoked;AUSTRALIA;Surfing;;Minor injury to lower leg;N;Unknown
4;04-Jun-2018;;Provoked;MEXICO;Free diving;;Lacerations to leg & hand shark PROVOKED INCIDENT;N;Unknown
5;03-Jun-2018;;Unprovoked;AUSTRALIA;Kite surfing;;No injury, board bitten;N;Unknown
6;03-Jun-2018;;Unprovoked;BRAZIL;Swimming;;FATAL;Y;Unknown
7;27-May-2018;;Unprovoked;USA;Fishing;;Minor injury to foot. PROVOKED INCIDENT;N;Unknown
8;26-May-2018;;Unprovoked;USA;Walking;;Lower left leg bitten;N;Evening
9;26-May-2018;;Unprovoked;USA;Standing;;Minor injury to foot;N;Afternoon
10;24-May-2018;;Provoked;AUSTRALIA;Feeding sharks;;Minor bite to hand by captive shark. PROVOKED INCIDENT;N;Unknown
11;21-May-2018;;Unprovoked;USA;Boogie boarding;;Injuries to lower right leg and foot;N;Unknown
12;13-May-2018;;Unprovoked;USA;Swimming;;Severe bite to right forearm;N;Afternoon
13;13-May-2018;;Invalid;ENGLAND;Fishing;;Injured by teeth of a dead porbeagle shark he was tossing overboard.;N;Morning
14;May 2018;;Provoked;AUSTRALIA;Feeding sharks;;Shallow lacerations to finger PROVOKED INCIDENT;N;Unknown
15;12-May-2018;;Unprovoked;SOUTH AFRICA;Surfing;;Minor injury, marks on board;N;Morning
16;09-May-2018;;Questionable;AUSTRALIA;Surfing;;No injury, surfboard damaged;N;Morning
17;Reported 30-Apr-2018;;Unprovoked;THAILAND;Swimming;;Minor injury to ankle;N;Unknown
18;28-Apr-2018;;Unprovoked;COSTA RICA;Scuba diving;;No injury, shark bit scuba gear;N;Morning
19;28-Apr-2018;;Unprovoked;AUSTRALIA;Surfing;;No injury, knocked off board by shark;N;Afternoon
20;25-Apr-2018;;Questionable;AUSTRALIA;Surfing;;No injury;N;Morning
21;25-Apr-2018;;Unprovoked;AUSTRALIA;Surfing;;No injury, knocked off board by shark;N;Morning
22;24-Apr-2018;;Unprovoked;AUSTRALIA;Surfing;;No injury, shark struck his leg;N;Unknown
23;23-Apr-2018;;Unprovoked;MALDIVES;Fishing;;5-inch cut to hand;N;Night
24;22-Apr-2018;;Unprovoked;SOUTH AFRICA;Paddle-skiing;;No injury, shark bit hole in ski;N;Morning
25;19-Apr-2018;;Unprovoked;USA;Body boarding;;Lacerations to right lower leg;N;Unknown
26;15-Apr-2018;;Unprovoked;THAILAND;Swimming;;Lacerations to foot and ankle;N;Unknown
27;15-Apr-2018;;Unprovoked;BRAZIL;Swimming;;Multiple severe injuries to arms and leg, leg subsequently surgically amputated;UNKNOWN;Unknown
28;15-Apr-2018;;Unprovoked;AUSTRALIA;Surfing;;Laceration to right thigh;N;Unknown
29;15-Apr-2018;;Unprovoked;AUSTRALIA;Surfing;;Lacerations to legs;N;Morning
30;14-Apr-2018;;Unprovoked;BAHAMAS;Surfing;;No Injury. Shark swam away with the surf board;N;Morning
31;Reported 10-Apr-2018;;Invalid;BRAZIL;Fishing;;Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ;N;Unknown
32;09-Apr-2018;;Unprovoked;NEW CALEDONIA;Windsurfing;;No injury, shark bit board;N;Evening
33;05-Apr-2018;;Unprovoked;BAHAMAS;Swimming;;2 puncture wounds to left foot, abrasion to right foot;N;Evening
34;03-Apr-2018;;Unprovoked;SOUTH AFRICA;Surfing;;Lacerations to left knee & lower leg;N;Afternoon
35;31-Mar-2018;;Unprovoked;USA;Stand-Up Paddleboarding;;Injuries to right leg & hand;N;Morning
36;14-Mar-2018;;Unprovoked;AUSTRALIA;Wading;;Minor injuries to legs;N;Evening
37;9-Mar-2018;;Unprovoked;AUSTRALIA;Swimming;;No injury, said to have been charged by sharks several times;N;Afternoon
38;9-Mar-2018;;Unprovoked;AUSTRALIA;Surfing;;Minor injury, ankle grazed;N;Morning
39;24-Feb-2018;;Unprovoked;SOUTH AFRICA;Scuba Diving;;" The shark & man simply collided; neither were injured";N;Unknown
